2019-11-24T23:02:13.889-0200 [DEBUG] 2019-11-24 23:02:13,889 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchDnaHorizontal - Parâmetros recebidos: 
2019-11-24T23:02:13.889-0200 [DEBUG] 2019-11-24 23:02:13,889 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchDnaHorizontal - 1- linhaStart: 2
2019-11-24T23:02:13.889-0200 [DEBUG] 2019-11-24 23:02:13,889 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchDnaHorizontal - 2- colunaStart: 0
2019-11-24T23:02:13.889-0200 [DEBUG] 2019-11-24 23:02:13,889 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchDnaHorizontal - 3- numberOfSequence: 0
2019-11-24T23:02:13.890-0200 [DEBUG] 2019-11-24 23:02:13,890 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchDnaHorizontal - 4- numberOfSequence:2
2019-11-24T23:02:13.890-0200 [DEBUG] 2019-11-24 23:02:13,890 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchDnaHorizontal - Retorno:0
2019-11-24T23:02:13.890-0200 [INFO] 2019-11-24 23:02:13,890 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchDnaHorizontal - ##### Método finalizado #####
2019-11-24T23:02:13.890-0200 [INFO] 2019-11-24 23:02:13,890 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchDnaHorizontal - ##### Método iniciado #####
2019-11-24T23:02:13.890-0200 [DEBUG] 2019-11-24 23:02:13,890 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchDnaHorizontal - Parâmetros recebidos: 
2019-11-24T23:02:13.890-0200 [DEBUG] 2019-11-24 23:02:13,890 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchDnaHorizontal - 1- linhaStart: 3
2019-11-24T23:02:13.890-0200 [DEBUG] 2019-11-24 23:02:13,890 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchDnaHorizontal - 2- colunaStart: 0
2019-11-24T23:02:13.890-0200 [DEBUG] 2019-11-24 23:02:13,890 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchDnaHorizontal - 3- numberOfSequence: 0
2019-11-24T23:02:13.891-0200 [DEBUG] 2019-11-24 23:02:13,891 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchDnaHorizontal - 4- numberOfSequence:2
2019-11-24T23:02:13.891-0200 [DEBUG] 2019-11-24 23:02:13,891 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchDnaHorizontal - Retorno:0
2019-11-24T23:02:13.891-0200 [INFO] 2019-11-24 23:02:13,891 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchDnaHorizontal - ##### Método finalizado #####
2019-11-24T23:02:13.891-0200 [INFO] 2019-11-24 23:02:13,891 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchDnaHorizontal - ##### Método iniciado #####
2019-11-24T23:02:13.891-0200 [DEBUG] 2019-11-24 23:02:13,891 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchDnaHorizontal - Parâmetros recebidos: 
2019-11-24T23:02:13.891-0200 [DEBUG] 2019-11-24 23:02:13,891 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchDnaHorizontal - 1- linhaStart: 4
2019-11-24T23:02:13.891-0200 [DEBUG] 2019-11-24 23:02:13,891 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchDnaHorizontal - 2- colunaStart: 0
2019-11-24T23:02:13.891-0200 [DEBUG] 2019-11-24 23:02:13,891 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchDnaHorizontal - 3- numberOfSequence: 0
2019-11-24T23:02:13.892-0200 [DEBUG] 2019-11-24 23:02:13,892 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchDnaHorizontal - 4- numberOfSequence:2
2019-11-24T23:02:13.892-0200 [DEBUG] 2019-11-24 23:02:13,892 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchDnaHorizontal - Retorno:1
2019-11-24T23:02:13.892-0200 [INFO] 2019-11-24 23:02:13,892 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchDnaHorizontal - ##### Método finalizado #####
2019-11-24T23:02:13.892-0200 [INFO] 2019-11-24 23:02:13,892 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchDnaHorizontal - ##### Método iniciado #####
2019-11-24T23:02:13.892-0200 [DEBUG] 2019-11-24 23:02:13,892 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchDnaHorizontal - Parâmetros recebidos: 
2019-11-24T23:02:13.892-0200 [DEBUG] 2019-11-24 23:02:13,892 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchDnaHorizontal - 1- linhaStart: 5
2019-11-24T23:02:13.892-0200 [DEBUG] 2019-11-24 23:02:13,892 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchDnaHorizontal - 2- colunaStart: 0
2019-11-24T23:02:13.911-0200 [DEBUG] 2019-11-24 23:02:13,911 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchDnaHorizontal - 3- numberOfSequence: 0
2019-11-24T23:02:13.911-0200 [DEBUG] 2019-11-24 23:02:13,911 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchDnaHorizontal - 4- numberOfSequence:2
2019-11-24T23:02:13.911-0200 [DEBUG] 2019-11-24 23:02:13,911 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchDnaHorizontal - Retorno:0
2019-11-24T23:02:13.912-0200 [INFO] 2019-11-24 23:02:13,912 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchDnaHorizontal - ##### Método finalizado #####
